identifier:ID,:LABEL,name:string,technology:string,measurement:string,timepoint:string,material_id_1:string,material_name_1:string
OSD-679_OCT_MT82_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT82_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT05_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT05_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT01_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT01_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT63_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT63_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT01_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT01_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT63_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT63_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT08_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT08_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT18_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT18_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT08_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT08_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT18_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT18_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT09_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT09_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT04_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT04_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT17_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT17_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT21_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT21_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT23_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT23_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT02_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT02_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT54_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT54_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT04_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT04_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT05_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT05_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT17_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT17_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT21_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT21_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT23_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT23_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT02_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT02_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT13_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT13_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT14_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT14_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT15_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT15_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT16_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT16_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT28_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT28_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT32_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT32_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT39_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT39_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT37_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT37_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT13_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT13_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT15_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT15_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT16_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT16_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT28_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT28_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT32_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT32_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT39_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT39_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT37_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT37_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT267_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT267_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT269_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT269_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT270_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT270_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT267_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT267_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT269_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT269_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT270_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT270_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT278_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT278_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT279_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT279_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT280_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT280_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT278_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT278_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT279_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT279_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT280_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT280_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT259_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT259_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT261_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT261_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT263_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT263_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT264_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT264_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT265_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT265_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT266_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT266_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT259_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT259_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT261_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT261_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT263_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT263_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT264_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT264_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT265_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT265_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT266_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT266_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT272_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT272_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT273_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT273_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT274_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT274_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT275_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT275_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT276_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT276_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT277_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT277_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT271_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT271_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT273_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT273_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT274_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT274_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT275_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT275_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT276_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT276_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT277_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT277_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT07_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT07_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT25_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT25_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT35_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT35_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT07_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT07_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT25_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT25_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT35_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT35_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT149_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT149_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT151_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT151_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT153_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT153_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT155_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT155_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT158_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT158_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT297_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT297_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT299_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT299_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT301_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT301_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT149_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT149_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT153_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT153_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT155_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT155_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT297_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT297_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT299_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT299_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT301_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT301_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT150_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT150_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT152_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT152_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT154_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT154_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
